stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,18.66,0,58702.9605,0,
COMPANY STOCK,REGMSCREGREG-28,REGMSCREGREG-28-1,"22,YELLOW",SMSC38896,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Jai Gulab Dev Jewellers,,1,1.24,1.228,1.12976,0,,0,0,0,0,350,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,POLMIXMIXEFMIX,1,0.06,18000,0.6,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,1.228,0,3391.45379,0,
COMPANY STOCK,REGMSCREGREG-28,REGMSCREGREG-28-1,"22,YELLOW",SMSC46331,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Singar Santosh R,,1,6.46,4.776,4.39392,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,BLBMIXMIXMIXMIX,1,8.42,50,0,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,4.776,0,0,0,
COMPANY STOCK,REGREPREGREG-363,REGREPREGREG-363-1,"18,YELLOW",SREP50024,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Prasanth Das (09),Prasanth Das (09),1,1.31,1.31,0.9956,0,,0,0,0,0,550,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-18-YELLOW,0,1.31,0,0,0,
COMPANY STOCK,REGREPREGREG-346,REGREPREGREG-346-1,"22,YELLOW",SREP49994,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Sanjay Samanta-113,Sanjay Samanta-113,1,1.46,1.46,1.3432,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,1.46,0,0,0,
