stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
DIAPEAVS-SIIJ0.13 TO 0.175 (IV),Diamond,Pear,VS-SI,IJ,0.13 TO 0.175 (IV),72000,108000
DIAOVLVS-SIIJ0.000 to 0.056 (I),Diamond,Oval,VS-SI,IJ,0.000 TO 0.056 (I),72000,108000
DIAMAQVS-SIIJ0.075 TO 0.08 (II),Diamond,Marquise,VS-SI,IJ,0.075 TO 0.08 (II),72000,108000
DIAOVLVS-SIIJ0.13 TO 0.175 (IV),Diamond,Oval,VS-SI,IJ,0.13 TO 0.175 (IV),72000,108000
DIAPEASIHI  0.18 TO 0.22 (V),Diamond,Pear,SI,HI,  0.18 TO 0.22 (V),72000,108000
DIARNDSIHI0.085 TO 0.125(III),Diamond,Round,SI,HI,0.085 TO 0.125(III),72000,108000
DIAMLEVVSEF0.000 TO 0.056,Diamond,,VVS,EF,0.000 TO 0.056,72000,108000
DIAPRIVSFGH0.075 TO 0.080,Diamond,Princess,VS,FGH,0.075 TO 0.080,72000,108000
DIAPEAVSGH0.18 TO 0.22 (V),Diamond,Pear,VS,GH,0.18 TO 0.22 (V),72000,108000
SLTPEAVSGH0.30 TO 0.39 (VII),Solitaire_Diamond,Pear,VS,GH,0.30 TO 0.39 (VII),150000,225000
DIAMAQVSIJ0.075 TO 0.084,Diamond,Marquise,VS,IJ,0.075 TO 0.084,72000,108000
DIAPEAVSIJ0.000 TO 0.056 (I),Diamond,Pear,VS,IJ,0.000 TO 0.056 (I),72000,108000
DIAPEAVSIJ0.085 TO 0.125(III),Diamond,Pear,VS,IJ,0.085 TO 0.125(III),72000,108000
DIAPEAVSIJ0.13 TO 0.175(IV),Diamond,Pear,VS,IJ,0.13 TO 0.175(IV),72000,108000
DIAPRIVSIJ0.085 TO 0.125 (III),Diamond,Princess,VS,IJ,0.085 TO 0.125 (III),72000,108000
SLTRNDVVS1I  1.00 TO 1.49 (XI),Solitaire_Diamond,Round,VVS1,I,  1.00 TO 1.49 (XI),150000,225000
CUSRNDMIXMIXMIX,Diamond,Round,,,,72000,108000
SLTDIAVVS1E0.70 TO 0.99,Solitaire_Diamond,,VVS1,E,0.70 TO 0.99,150000,225000
DIAROSVSMIX0.000 TO 0.056 (I),Diamond,ROSE CUT,VS,,0.000 TO 0.056 (I),72000,108000
DIARNDVVSEF  0.085 TO 0.125(III),Diamond,Round,VVS,EF,  0.085 TO 0.125(III),72000,108000
DIARNDVVSEF0.000 TO 0.056 b,Diamond,Round,VVS,EF,0.000 TO 0.056 A,72000,108000
DIAPEAVVS - VSFG0.23 TO 0.29,Diamond,Pear,VVS-VS,FG,0.23 TO 0.29,72000,108000
DIAPEAVS - SIIJ0.075 TO 0.084,Diamond,Pear,VS-SI,IJ,0.075 TO 0.084,72000,108000
DIARNDVS - SIIJ0.000 TO 0.056(I),Diamond,Round,VS-SI,IJ,0.000 TO 0.056(I),72000,108000
SLTRNDVVS1EF0.30 TO 0.39,Solitaire_Diamond,Round,VVS1,EF,0.30 TO 0.39,150000,225000
DIARNDVVSEF0.13 TO 0.179,Diamond,Round,VVS,EF,0.13 TO 0.179,72000,108000
DIARNDVVSEF0.18 TO 0.229,Diamond,Round,VVS,EF,0.18 TO 0.229,72000,108000
DIAMAQVSIIJ0.000 TO 0.056,Diamond,Marquise,VS-SI,IJ,0.000 TO 0.056,72000,108000
DIAFNYVSIIJ0.085 TO 0.125 (LLL),Diamond,,VS-SI,IJ,0.085 TO 0.125 (LLL),72000,108000
DIAROSMIXMIX0.075 TO 0.08 (II),Diamond,ROSE CUT,,,0.075 TO 0.08 (II),72000,108000
DIARNDVVS - VSEF  0.18 TO 0.22(V),Diamond,Round,VVS-VS,EF,  0.18 TO 0.22(V),72000,108000
DPVSIFHEP08,Diamond,Pear,VS-SI,FGH Excellent,Upto 0.08,72000,108000
DIAMAQVVSFG0.075 TO 0.084,Diamond,Marquise,VVS,FG,0.075 TO 0.084,72000,108000
DIAPEAVVSFG0.075 TO 0.084,Diamond,Pear,VVS,FG,0.075 TO 0.084,72000,108000
DIAPEAVVSFG0.13 TO 0.179,Diamond,Pear,VVS,FG,0.13 TO 0.179,72000,108000
DIAPRIVVSFG0.085 TO 0.129,Diamond,Princess,VVS,FG,0.085 TO 0.129,72000,108000
DIAMAQVSHI0.13 TO 0.175 (IV),Diamond,Marquise,VS,HI,0.13 TO 0.175 (IV),72000,108000
DIAMAQVSHI0.000 to 0.056 (I),Diamond,Marquise,VS,HI,0.000 TO 0.056 (I),72000,108000
DIAMAQVSHI0.085 TO 0.125 (III),Diamond,Marquise,VS,HI,0.085 TO 0.125 (III),72000,108000
DIAPEAVSHI0.085 TO 0.125 (III),Diamond,Pear,VS,HI,0.085 TO 0.125 (III),72000,108000
DIAPRIVSHI0.000 to 0.056 (I),Diamond,Princess,VS,HI,0.000 TO 0.056 (I),72000,108000
