stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat,
31976,ROSMIXVVSVSGH0.000 TO 0.056,Diamond,Rose,VVS,GH,0.000 TO 0.056,59500,65450
31977,ROSMIXVVSVSHI0.000 TO 0.056,Diamond,Rose,VVS,HI,0.000 TO 0.056,59500,65450
31978,ROSMIXVVSVSIJ0.000 TO 0.056,Diamond,Rose,VVS,IJ,0.000 TO 0.056,59500,65450
31979,ROSRNDVSSIIJ  0.085 TO 0.0125(III),Diamond,Rose,VS,IJ,0.085 TO 0.0125,59500,65450
31980,RSCUTRNDVVSEFMIX,Diamond,Round,VVS,EF,Mix,59500,65450
31981,SINMIXAMIXMIX,Diamond,Mix,Mix,Mix,Mix,59500,65450
31982,WPLMIXAEFMIX,Polki,Mix,Mix,EF,Mix,59500,65450
31983,CLRDIARNDVS_SIIJ0.085 TO 0.125 (II),Diamond,Round,VS_SI,IJ,0.085 TO 0.125 (II),60000,66000
31984,DIAEMEVS_SIFGH0.085 TO 0.129,Diamond,Emerald,VS_SI,FGH,0.085 TO 0.129,60000,66000
31985,DIAFANVS_SIFGH0.000 to 0.056 (I),Diamond,Fancy,VS_SI,FGH,0.000 TO 0.056 (I),60000,66000
31986,DIAFANVS_SIIJ0.000 TO 0.056 (I),Diamond,Fancy,VS_SI,IJ,0.000 TO 0.056 (I),60000,66000
31987,DIAFANVVS _ VSEF0.075 TO 0.080 (LL),Diamond,Fancy,VVS _ VS,EF,0.075 TO 0.080 (LL),60000,66000
31988,DIAFANVVS_VS/VVSEF0.135 TO 0.175 (IV),Diamond,Fancy,VVS_VS/VVS,EF,0.135 TO 0.175 (IV),60000,66000
31989,DIAFANVVS_VSFGH0.000 TO 0.056 (I),Diamond,Fancy,VVS_VS,FGH,0.000 TO 0.056 (I),60000,66000
31990,DIAFNYMIXMIX   0.135 to 0.175 (IV),Diamond,Fancy,Mix,Mix,   0.135 to 0.175 (IV),60000,66000
31991,DIAFNYMIXMIX   0.180 to 0.220 (V),Diamond,Fancy,Mix,Mix,   0.180 to 0.220 (V),60000,66000
31992,DIAFNYVS_SIHI   0.085 to 0.125 (lll),Diamond,Fancy,VS_SI,HI,   0.085 to 0.125 (lll),60000,66000
31993,DIAFNYVS_SIIJ   0.075 to 0.080 (ll),Diamond,Fancy,VS_SI,IJ,   0.075 to 0.080 (ll),60000,66000
31994,DIAFNYVS_SIIJ   0.085 to 0.125 (lll),Diamond,Fancy,VS_SI,IJ,   0.085 to 0.125 (lll),60000,66000
31995,DIAFNYVVS _ VSGH   0.135 to 0.175 (IV),Diamond,Fancy,VVS _ VS,GH,   0.135 to 0.175 (IV),60000,66000
31996,DIAFNYVVS _ VSGH   0.180 to 0.220 (V),Diamond,Fancy,VVS _ VS,GH,   0.180 to 0.220 (V),60000,66000
31997,DIAFNYVVS_VSFG0.000 TO 0.056 (I),Diamond,Fancy,VVS_VS,FG,0.000 TO 0.056 (I),60000,66000
31998,DIAFNYVVSFG   0.085 to 0.125 (lll),Diamond,Fancy,VVS,FG,   0.085 to 0.125 (lll),60000,66000
