stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,ITLCHNREG1LN-1318,ITLCHNREG1LN-1318-1,"18,YELLOW",SCHN37187,PMJ&GEMS-B-C-BANJARA HILLS-HO,Exhibition USA,,GOLD STRINGS,,1,2.83,2.83,2.1508,0,,0,0,0,0,150,27
,,,,,,Exhibition USA,,,,0,0,0,0,1341.048198,AG-18-YELLOW,0,2.83,0,9339,,
COMPANY STOCK,UPCRNGLDSREG-10,UPCRNGLDSREG-10-1,"22,YELLOW",SRNG32610,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mamraj Mussadilal Jewellers,,1,11.3,11.154,10.26168,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXAMIX- ABOVE 1,1,0.29,144827.5862,7250,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,LBDMIXMIXMIXMIX,37,0.44,56818.18182,6160,,
,,,,,,FG-BHSHW,,,,0,0,0,0,382.6949256,AG-22KT-YELLOW,0,11.154,0,35027.74275,,
COMPANY STOCK,UPCRNGLDSREG-8,UPCRNGLDSREG-8-1,"22,YELLOW",SRNG32581,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mamraj Mussadilal Jewellers,,1,10.58,10.454,9.61768,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,1,0.05,30000,25,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,12,0.58,31034.48276,4350,,
,,,,,,FG-BHSHW,,,,0,0,0,0,408.3201837,AG-22KT-YELLOW,0,10.454,0,32829.48025,,
COMPANY STOCK,UPCMATHNGREG-344,UPCMATHNGREG-344-1,"22,YELLOW",SMAT15275,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mamraj Mussadilal Jewellers,,1,25.05,20.594,18.94648,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX1,2,21.65,16.16628176,2165,,
