stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
SLTRNDVVSEF1.00 TO 1.49,Solitaire Diamond,Round,VVS,EF,1.00 TO 1.49,0,0
DALMIXMIXMIX,Dial,Mix,Mix,Mix,Mix,10,11
DORMIXMIXMIX,Dori,Mix,Mix,Mix,Mix,10,11
DORIMIXAMIXMIX,Dori,Mix,A,Mix,Mix,10,11
DORIMIXMIXMIXMIX,Dori,Mix,Mix,Mix,Mix,10,11
CUSTMIXMIXMIXMIX,Customer Stone,Mix,Mix,Mix,Mix,10,11
CSTMIXMIXMIXMIX,Colour Stone,Mix,Mix,Mix,Mix,10,11
DORMIXMIXMIXMIX,Black Dori,Mix,Mix,Mix,Mix,10,11
BEAMIXMIXBLACKMIX,Beeds,Mix,Mix,BLACK,Mix,50,55
BLBMIXMIXBLACKMIX,Black Beeds,Mix,Mix,BLACK,Mix,50,55
BLBMIXMIXMIXMIX,Artificial Nail,Mix,Mix,Mix,Mix,50,55
BLCBDSRNDABLACKMIX,Black Beeds,Round,Mix,BLACK,Mix,50,55
KLPMIXMIXMIXMIX,Kalipoth,Mix,Mix,Mix,Mix,50,55
EMEBDSMIXAGREENMIX,Emerald Beeds,Mix,Mix,GREEN,Mix,800,880
LACMIXMIXMIX,Lakh,Mix,Mix,Mix,Mix,100,110
PATMIXMIXMIXMIX,Lakh,Mix,Mix,Mix,Mix,100,110
PRLMIXMIXMIXMIX,Pearl,Mix,Mix,Mix,Mix,450,495
PARLMIXAMIXMIX,Pearl,Mix,Mix,Mix,Mix,250,275
PRLMIXA0MIX,Pearl,Mix,Mix,Mix,Mix,250,275
PRLMIXMIXWHITEMIX,Pearl,Mix,Mix,WHITE,Mix,250,275
OTHMIXMIXOTHMIX,Ruby,Mix,Mix,Mix,Mix,250,275
PRLMIXAMIXMIX,Pearl,Mix,Mix,Mix,Mix,350,385
PRLMIXMIXCREAMMIX,Pearl,Mix,Mix,CREAM,Mix,350,385
BEAMIXMIXMIXMIX,Beeds,Mix,Mix,Mix,Mix,400,440
BDSRNDAMIXMIX,Beeds,Round,Mix,Mix,Mix,250,275
PRLMIXMIXMIXMX,Pearl,Mix,Mix,Mix,Mix,250,275
PRLMIXMIXGOLDENMIX,Pearl,Mix,Mix,GOLDEN,Mix,250,275
TOBMIXMIXBLUEMIX,Tourmaline Beeds,Mix,Mix,BLUE,Mix,300,330
PRLMIXVSFGMIX,Pearl,Mix,VS,FG,Mix,350,385
SSPMIXMIXCREAMMIX,South Sea Pearl,Mix,Mix,CREAM,Mix,350,385
PRLMIXBMIXMIX,Pearl,Mix,Mix,Mix,Mix,350,385
CRBMIXMIXMIXMIX,Coral Beeds,Mix,Mix,Mix,Mix,350,385
PRLMIXMIXLIGHT GOLDENMIX,Pearl,Mix,Mix,Golden,Mix,350,385
SSPMIXAMIXMIX,South Sea Pearl,Mix,Mix,Mix,Mix,350,385
SSPMIXMIXGOLDENMIX,South Sea Pearl,Mix,Mix,Golden,Mix,350,385
SSPMIXMIXMIXMIX,South Sea Pearl,Mix,Mix,Mix,Mix,350,385
SSPMIXMIXMIXMX,South Sea Pearl,Mix,Mix,Mix,Mix,350,385
SSPMIXMIXSSPMIX,South Sea Pearl,Mix,Mix,Mix,Mix,350,385
SSPMIXMIXWHITEMIX,South Sea Pearl,Mix,Mix,WHITE,Mix,350,385
SSPMIXMIXPINKMIX,South Sea Pearl,Mix,Mix,PINK,Mix,350,385
SSPMIXVVSEFMIX,South Sea Pearl,Mix,VVS,EF,Mix,350,385
SAPMIXMIXMIXMIX,Sapphire,Mix,VS,Mix,Mix,1200,1320
BPLMIXMIXMIXMIX,Pearl,Mix,Mix,Mix,Mix,350,385
RBBMIXMIXREDMIX,Ruby Beeds,Mix,Mix,RED,Mix,650,715
DRPMIXAMIXMIX,Drop,Mix,Mix,Mix,Mix,400,440
YSHPBDSMIXMIXYELLOWMIX,Yellow Sapphire,Mix,Mix,YELLOW,Mix,650,715
BEAMIXMIXGREENMIX,Beeds,Mix,Mix,GREEN,Mix,400,440
BLUSHPBDSMIXMIXBLUEMIX,Blue Sapphire,Mix,Mix,BLUE,Mix,650,715
